Ano Censo,Número de Cursos,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Sigla UF,Sigla Região
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRAÇÃO PÚBLICA,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,AQÜICULTURA,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARQUITETURA E URBANISMO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARQUITETURA E URBANISMO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARQUITETURA E URBANISMO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARTES VISUAIS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BANCO DE DADOS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BIBLIOTECONOMIA,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BIOMEDICINA,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BIOMEDICINA,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BIOMEDICINA,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CINEMA E AUDIOVISUAL,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIA DA COMPUTAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIA DA COMPUTAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIA DA COMPUTAÇÃO,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIA E TECNOLOGIA,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS ATUARIAIS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,RN,NE
2013,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,RN,NE
