Ano Censo,Número de Cursos,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Sigla UF,Sigla Região
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS BIOLOGICAS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS BIOLOGICAS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS BIOLOGICAS NATAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS  EAD,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS EAD,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS NATAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEISEAD,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS DA RELIGIAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS ECONOMICAS NATAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL ANTROPOLOGIA E POLITICA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL ANTROPOLOGIA E SOCIOLOGIA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL POLITICA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL POLITICA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL POLITICA E SOCIOLOGIA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL SOCIOLOGIA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMPUTACAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL - JORNALISMO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL - PUBLICIDADE E PROPAGANDA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL - PUBLICIDADE E PROPAGANDA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL NATAL JORNALISMO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL NATAL PUBLICIDADE E PROPAGANDA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL NATAL RADIALISMO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA DA PRODUCAO DA CONSTRUCAO CIVIL - CAMPUS NATAL-CENTRAL,RN,NE
