Ano Censo,Número de Cursos,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Nome Curso,Sigla UF,Sigla Região
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO COMERCIAL,GESTÃO COMERCIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO DA PRODUÇÃO INDUSTRIAL,GESTÃO DA PRODUÇÃO INDUSTRIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO DE RECURSOS HUMANOS,GESTÃO DE RECURSOS HUMANOS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO DE RECURSOS HUMANOS,GESTÃO DE RECURSOS HUMANOS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO DE RECURSOS HUMANOS,GESTÃO DE RECURSOS HUMANOS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO DE RECURSOS HUMANOS,GESTÃO DE RECURSOS HUMANOS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO DE SEGURANÇA PÚBLICA,GESTÃO DE SEGURANÇA PÚBLICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO DE SISTEMAS DE INFORMAÇÃO,GESTÃO DE SISTEMAS DE INFORMAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO DE SISTEMAS DE INFORMAÇÃO,GESTÃO DE SISTEMAS DE INFORMAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO DESPORTIVA E DE LAZER,GESTÃO DESPORTIVA E DE LAZER,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO E MARKETING DE PEQUENAS E MÉDIAS EMPRESAS,GESTÃO E MARKETING DE PEQUENAS E MÉDIAS EMPRESAS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO FINANCEIRA,GESTÃO FINANCEIRA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO FINANCEIRA,GESTÃO FINANCEIRA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO FINANCEIRA,GESTÃO FINANCEIRA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO FINANCEIRA,GESTÃO FINANCEIRA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO PÚBLICA,GESTÃO PÚBLICA,RN,NE
