Ano Censo,Número de Matrículas,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Nome Curso,Sigla UF,Sigla Região
2012,192,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,RN,NE
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,RN,NE
2012,2655,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIA E TECNOLOGIA,CIÊNCIA E TECNOLOGIA,RN,NE
2012,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS AERONÁUTICAS,CIÊNCIAS AERONÁUTICAS,RN,NE
2012,79,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS ATUARIAIS,CIÊNCIAS ATUARIAIS,RN,NE
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,CIÊNCIAS BIOLÓGICAS,RN,NE
2012,155,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,CIÊNCIAS BIOLÓGICAS,RN,NE
2012,309,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,CIÊNCIAS BIOLÓGICAS,RN,NE
2012,163,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,CIÊNCIAS BIOLÓGICAS,RN,NE
2012,155,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,CIÊNCIAS BIOLÓGICAS,RN,NE
2012,197,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,CIÊNCIAS BIOLÓGICAS,RN,NE
2012,297,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS BIOLÓGICAS,CIÊNCIAS BIOLÓGICAS,RN,NE
2012,297,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,1236,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,180,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,14,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,254,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,746,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,311,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
