Ano Censo,Número de Matrículas,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Sigla UF,Sigla Região
2009,679,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,37,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,12,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,19,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,57,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,61,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO,RN,NE
2009,63,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - ADMINISTRACAO DE EMPRESAS,RN,NE
2009,7,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - ADMINISTRACAO FINANCEIRA,RN,NE
2009,5,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - COMERCIO EXTERIOR,RN,NE
2009,30,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - GESTAO DE ORGANIZACOES,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - GESTAO DE SISTEMAS DE INFORMACAO,RN,NE
2009,9,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - GESTAO DE SISTEMAS DE INFORMACAO,RN,NE
2009,32,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - MARKETING,RN,NE
2009,13,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO - MARKETING,RN,NE
2009,131,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ADMINISTRACAO NATAL,RN,NE
2009,21,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,AQUICULTURA NATAL,RN,NE
2009,56,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARQUITETURA E URBANISMO,RN,NE
2009,33,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARQUITETURA E URBANISMO NATAL,RN,NE
2009,4,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ARTES VISUAIS NATAL,RN,NE
2009,38,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BIBLIOTECONOMIA NATAL,RN,NE
2009,23,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,BIOMEDICINA NATAL,RN,NE
2009,4,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIA DA COMPUTACAO,RN,NE
2009,23,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIA DA COMPUTACAO NATAL,RN,NE
2009,9,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIA DA COMPUTACAO NATAL SISTEMAS DE INFORMACAO,RN,NE
2009,60,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS BIOLOGICAS,RN,NE
2009,84,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS BIOLOGICAS,RN,NE
2009,115,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS BIOLOGICAS NATAL,RN,NE
2009,7,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,58,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,12,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,69,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,174,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,31,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS,RN,NE
2009,96,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS CONTABEIS NATAL,RN,NE
2009,6,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS DA RELIGIAO,RN,NE
2009,41,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS ECONOMICAS NATAL,RN,NE
2009,37,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL ANTROPOLOGIA E POLITICA,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL ANTROPOLOGIA E SOCIOLOGIA,RN,NE
2009,5,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL POLITICA,RN,NE
2009,4,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL POLITICA,RN,NE
2009,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL POLITICA E SOCIOLOGIA,RN,NE
2009,14,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIENCIAS SOCIAIS NATAL SOCIOLOGIA,RN,NE
2009,9,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL,RN,NE
2009,7,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL - JORNALISMO,RN,NE
2009,56,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL - PUBLICIDADE E PROPAGANDA,RN,NE
2009,52,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL NATAL JORNALISMO,RN,NE
2009,38,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICACAO SOCIAL NATAL RADIALISMO,RN,NE
2009,2,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA DA PRODUCAO DA CONSTRUCAO CIVIL - CAMPUS NATAL-CENTRAL,RN,NE
2009,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ADMINISTRACAO PUBLICA,RN,NE
2009,8,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,RN,NE
2009,16,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS - CAMPUS NATAL-CENTRAL,RN,NE
2009,25,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM AUTOMACAO INDUSTRIAL - CAMPUS NATAL-CENTRAL,RN,NE
2009,13,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM BANCO DE DADOS AREA PROFISSIONAL INFORMATICA,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM COMERCIO EXTERIOR,RN,NE
2009,45,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM COMERCIO EXTERIOR - CAMPUS NATAL-CENTRAL,RN,NE
2009,18,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM CONSTRUCAO DE EDIFICIOS - CAMPUS NATAL-CENTRAL,RN,NE
2009,16,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM DESENVOLVIMENTO DE SOFTWARE - CAMPUS NATAL-CENTRAL,RN,NE
2009,17,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM FABRICACAO MECANICA - CAMPUS NATAL-CENTRAL,RN,NE
2009,91,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GASTRONOMIA,RN,NE
2009,119,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO AMBIENTAL,RN,NE
