Ano Censo,Número de Matrículas,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Sigla UF,Sigla Região
2010,37,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS ECONÔMICAS,RN,NE
2010,19,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS,RN,NE
2010,13,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS,RN,NE
2010,4,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS,RN,NE
2010,2,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS - ANTROPOLOGIA,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS - ANTROPOLOGIA E SOCIOLOGIA,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS - POLÍTICA E SOCIOLOGIA - POLÍTICA E SOCIOLOGIA,RN,NE
2010,7,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS - SOCIOLOGIA,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMPUTAÇÃO,RN,NE
2010,62,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICAÇÃO SOCIAL - JORNALISMO,RN,NE
2010,28,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMUNICAÇÃO SOCIAL - RADIALISMO,RN,NE
2010,18,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMÉRCIO EXTERIOR,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMÉRCIO EXTERIOR,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,COMÉRCIO EXTERIOR,RN,NE
2010,38,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CONSTRUÇÃO DE EDIFÍCIOS,RN,NE
2010,96,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DESIGN GRÁFICO,RN,NE
2010,29,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2010,92,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2010,45,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2010,81,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2010,158,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2010,64,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2010,19,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2010,1287,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2010,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2010,16,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ECOLOGIA,RN,NE
2010,14,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO ARTÍSTICA - ARTES CÊNICAS,RN,NE
2010,6,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO ARTÍSTICA - ARTES PLÁSTICAS,RN,NE
2010,50,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO FÍSICA,RN,NE
2010,23,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO FÍSICA,RN,NE
2010,147,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO FÍSICA,RN,NE
2010,65,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,RN,NE
2010,44,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,RN,NE
2010,452,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,RN,NE
2010,39,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,RN,NE
2010,81,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,RN,NE
2010,27,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,RN,NE
2010,56,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA CIVIL,RN,NE
2010,74,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA CIVIL,RN,NE
2010,31,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DA COMPUTAÇÃO - AUTOMAÇÃO INDUSTRIAL,RN,NE
2010,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DA COMPUTAÇÃO - SISTEMAS E COMPUTAÇÃO,RN,NE
2010,15,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE COMPUTAÇÃO,RN,NE
2010,25,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE MATERIAIS,RN,NE
2010,25,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE PRODUÇÃO,RN,NE
2010,49,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA ELÉTRICA,RN,NE
2010,63,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA MECÂNICA,RN,NE
2010,53,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA QUÍMICA,RN,NE
2010,17,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA TÊXTIL,RN,NE
2010,13,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ESTATÍSTICA,RN,NE
2010,17,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,FABRICAÇÃO MECÂNICA,RN,NE
2010,78,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,FARMÁCIA,RN,NE
2010,76,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,FARMÁCIA,RN,NE
2010,18,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,FILOSOFIA,RN,NE
